guideline;champ;participation;rigueur;clarté;applicabilié;indépendance
AACAP 2012;65;39;44;63;7;31
American Academy of Paediatrics 2018;70;26;12;30;6;69
American Psychological Association 2015;74;74;24;50;18;14
Council for Choices in Healthcare Finland 2020;91;69;51;72;56;0
de Vries 2006;63;31;10;74;17;6
Endocrine Society 2009;65;33;44;70;22;31
Endocrine Society 2017;63;33;42;72;21;92
European Society for Sexual Medicine 2020;63;52;39;70;7;58
Fisher 2014;65;20;12;35;17;44
Health Policy Project 2015;63;63;16;24;33;6
Norwegian Directorate of Health 2020;76;81;30;57;47;17
Oliphant 2018;44;39;12;33;21;0
Pan American Health Organisation 2014;52;44;13;31;21;0
Royal Children's Hospital Melbourne 2018;81;59;19;41;19;14
Society for Adolescent Health and Medicine 2020;41;24;17;41;7;0
South African HIV Clinicians Society 2021;59;59;21;43;24;69
Strang 2018;87;31;18;37;15;19
Swedish National Board of Health & Welfare 2022;91;87;71;83;25;36
UCSF 2016;70;41;23;37;26;0
WPATH 2012;85;61;26;56;17;17
WPATH 2022;83;63;35;56;24;39
